N,E,W,X
51, 83.6944, 6, 2455
54, 52.3791, 11, 11451
49, 42.9981, 7, 4700
47, 31.3153, 3, 5361
48, 33.7718, 3, 231
50, 36.7505, 3, 3209
49, 35.2611, 3, 167
52, 45.5319, 2, 3896
52, 51.3346, 2, 265
51, 46.9439, 2, 1
52, 53.2689, 2, 239
50, 57.06, 2, 286
42, 54.8162, -7, 16431
38, 62.3985, 1, 13667
61, 9.61315, 11, 27180
58, 4.17795, 11, 174
58, 4.17795, 11, 16
54, 20.4642, 7, 13865
47, 51.6248, 7, 22807
43, 34.0619, 3, 15945
44, 32.6499, 3, 617
45, 33.1721, 3, 471
51, 51.7795, 6, 3098
51, 55.648, 6, 540
50, 57.06, 6, 67
46, 31.7602, 5, 5590
38, 19.8453, 4, 8910
43, 52.4371, 3, 24452
48, 56.9826, 1, 14452
49, 53.6364, 1, 537
54, 44.6422, 1, 2307
53, 42.1857, 1, 317
44, 46.1896, 1, 8550
49, 58.472, 1, 1569
45, 48.646, 4, 19482
46, 51.1025, 4, 361
50, 40.619, 5, 6124
48, 35.706, 5, 628
55, 30.6576, 6, 8116
55, 12.2824, 4, 4388
43, 3.11412, 2, 8196
44, 30.7157, 6, 20532
46, 33.6944, 6, 854
38, 26.6151, 4, 7969
39, 31.0058, 4, 367
40, 30.5609, 4, 353
46, 35.6286, 6, 3342
50, 38.6847, 6, 3941
51, 40.1741, 7, 370
46, 50.1354, 4, 54428
49, 45.8994, 4, 7111
47, 45.8221, 3, 0
46, 45.2998, 3, 7
40, 22.824, 5, 24213
39, 29.0716, 4, 4841
45, 47.6789, 2, 29810
46, 54.0039, 2, 267
49, 72.0116, 3, 19547
56, 44.7195, 5, 11995
51, 29.5358, 5, 5579
48, 27.0019, 5, 5233
46, 35.6286, 5, 7865
41, 31.0832, 6, 2660
41, 29.1489, 4, 4463
43, 10.8511, 9, 21633
53, 11.2379, 10, 8769
54, 15.6286, 10, 331
58, 38.0271, 9, 5818
59, 39.5164, 7, 11331
64, 22.7853, 9, 11666
54, 5.95745, 8, 1480
45, 17.6983, 6, 6879
41, 34.9516, 5, 3770
40, 34.4294, 5, 165
47, 48.7234, 5, 17568
